2026-04-25	Cloudflare	https://boards-api.greenhouse.io/v1/boards/cloudflare/jobs	(board scan)	API 403 — used WebSearch fallback. Found: SWE (dedup_005), DS (dedup_073), Research Engineer (NEW→report_107), Data Engineer (no_match_ms_required), Data Analytics (no_match_role), Research Engineer (report_107)
2026-04-25	Cloudflare	https://job-boards.greenhouse.io/cloudflare/jobs/7358525	Research Engineer Intern (Summer 2026)	report_107 (3.8/5)
2026-04-25	Cloudflare	https://job-boards.greenhouse.io/cloudflare/jobs/7374706	Data Engineer Intern (Summer 2026)	no_match_ms_required (requires M.S. enrollment, George is B.S.)
2026-04-25	Cloudflare	https://job-boards.greenhouse.io/cloudflare/jobs/7206269	Software Engineer Intern (Summer 2026) - Austin TX	dedup (report_005 exists)
2026-04-25	Cloudflare	https://job-boards.greenhouse.io/cloudflare/jobs/7444764	Data Science Intern (Summer 2026)	dedup (report_073 exists)
2026-04-25	MongoDB	https://boards-api.greenhouse.io/v1/boards/mongodb/jobs	(board scan)	API 403 — used WebSearch fallback. SWE AMER = same posting as dedup (report_019).
2026-04-25	MongoDB	https://www.mongodb.com/careers/job/?gh_jid=7239454	2026 - Software Engineering Intern, AMER	dedup (report_019 exists, same posting)
2026-04-25	Snowflake	https://boards-api.greenhouse.io/v1/boards/snowflake/jobs	(board scan)	API 403 — used careers.snowflake.com + WebSearch fallback. AI/ML SWE dedup (report_053). Two new DS/DE roles found.
2026-04-25	Snowflake	https://careers.snowflake.com/us/en/job/SNCOUS7FDC4A005ECE47ABBEFADE494832CBB8EXTERNALENUS3F8011FD91DC4DC0AE7786AC641AFF3E/Data-Science-Intern-Summer-2026	Data Science Intern - Summer 2026	report_108 (4.2/5)
2026-04-25	Snowflake	https://careers.snowflake.com/us/en/job/SNCOUS4D3EECA579D242A29DE41B7710A39043EXTERNALENUSB33F19C8E57E4D9F87D9EC2E3E3E3A22/Data-Engineering-Intern-Summer-2026	Data Engineering Intern - Summer 2026	report_109 (3.9/5)
2026-04-25	Snowflake	https://careers.snowflake.com/us/en/job/SNCOUSD120A7EED3624463BFE2C36B2C3A5720EXTERNALENUSC300639AA6CC4D72818582FE23119E87/Product-Management-Intern-Summer-2026	Product Management Intern - Summer 2026	no_match_role (PM role, not SWE/DS/ML)
2026-04-25	Elastic	https://boards-api.greenhouse.io/v1/boards/elastic/jobs	(board scan)	API 403 — WebSearch found no 2026 intern postings. Confirmed no_interns.
2026-04-25	Confluent	https://boards-api.greenhouse.io/v1/boards/confluent/jobs	(board scan)	API 403 — WebSearch found SWE intern but grad requirement Dec 2026–Aug 2027 only. George (Jun 2028) ineligible. Confirmed no_match_grad.
2026-04-25	Confluent	https://careers.confluent.io/jobs/job/d9ebd50b-967e-4f35-8ebd-f0ce2705136a	2026 Confluent Software Engineering Intern (Austin)	no_match_grad (requires Dec 2026 – Aug 2027 graduation; George = Jun 2028)
2026-04-25	HashiCorp	https://boards-api.greenhouse.io/v1/boards/hashicorp/jobs	(board scan)	API 403 — WebSearch confirmed "no open intern positions." Confirmed no_interns.
2026-04-25	Grafana Labs	https://boards-api.greenhouse.io/v1/boards/grafanalabs/jobs	(board scan)	API 403 — WebSearch found no 2026 intern postings on Greenhouse. Confirmed no_interns.
2026-04-25	DigitalOcean	https://boards-api.greenhouse.io/v1/boards/digitalocean/jobs	(board scan)	API 403 — WebSearch found Engineering Intern (Summer 2026) = same posting as dedup (report_056).
2026-04-25	DigitalOcean	https://boards.greenhouse.io/embed/job_board?for=digitalocean98	Engineering Intern (Summer 2026)	dedup (report_056 exists, same posting, 4.0/5)
2026-04-25	PagerDuty	https://boards-api.greenhouse.io/v1/boards/pagerduty/jobs	(board scan)	API 403 — WebSearch found no 2026 intern postings. Confirmed no_interns.
